,name,wallet,id
0,Michael Le,8389,728006
1,Shelley White,5033,730214
2,Hannah Herrera,493,367048
3,Cathy Lynch,4981,890964
4,Thomas Price,7386,984503
5,Mary Browning,2070,893186
6,Colleen Flores,3559,415889
7,Robin Robinson,3399,857600
8,Donald Wolf,124,640095
9,Colleen Luna,9451,488915
10,Tyler Lee,5126,545870
11,Kylie Cooper,9989,903563
12,Chelsea Nichols,2791,864877
13,Steven Thomas,1366,358911
14,Carolyn Armstrong,9785,966698
15,William Young,6051,322491
16,Mark Moore,9615,241634
17,Mr. David Richards MD,8505,460073
18,Megan White,7547,444418
19,Anna Pratt,3883,335476
20,Marc Barnes,3612,426372
21,Andrew Rogers PhD,6683,798932
22,Brent Young,1125,903781
23,Kimberly Walker,5523,186042
24,Lauren Lewis,2724,671429
25,Joe Shields,6236,937044
26,Joshua Mills,3692,714690
27,Juan Burke,5555,420912
28,Curtis Campos,2461,861360
29,Jeanette Hammond,3883,640999
30,Ronald Johnson,5369,416602
31,Larry Cook,4756,303840
32,Tiffany Johnson,1251,144599
33,David Herrera,4769,180145
34,Donald Cook,1326,740545
35,David Buchanan,2168,297850
36,Scott Perez,4189,747607
37,James Guerra,2721,848190
38,Nancy Bowers,6172,931454
39,Stephen Day,643,541433
40,Jennifer Mccarty,329,345467
41,Elizabeth Luna,3358,266474
42,Shelly Stewart,2731,419038
43,Arthur Humphrey,6305,161597
44,Michael Henson,4060,664195
45,Sandra Edwards,8491,456011
46,David Maxwell,6190,547194
47,Brian Martinez,8785,555139
48,Karen Carroll,1128,198265
49,Matthew Phillips,6875,984896
50,Terry Fischer,986,793295
51,Rhonda Ramirez,2428,805540
52,Dennis Ochoa,7246,831244
53,Jeremiah Vargas,7326,944864
54,Amy Mendoza,8001,606042
55,Joel Roberts,7952,871451
56,Michael Phillips,5996,658702
57,Kristen Wright,8271,434819
58,Andrew Robles,6353,441976
59,Amanda Bishop,2861,539281
60,Daniel Hale,194,918968
61,Dr. Jason Ruiz DVM,256,164476
62,Glen Marsh,6334,738810
63,Chad Taylor,2909,781339
64,Matthew Nguyen,8503,359108
65,Paige Garrett,2862,485810
66,Joseph Boyd,1410,309627
67,Peter Carter,8650,891807
68,John Brennan,3242,285931
69,Mary Chan,7523,965210
70,Shannon Anderson,601,116614
71,Hayley Pineda,4205,568806
72,Christopher White,5863,226031
73,Erica Parks,2534,674227
74,Jeffrey Daniels,777,175165
75,Edwin Davis,2220,814674
76,Sean Sanford,9417,319368
77,Joshua Ford,8189,622146
78,John Lara,3451,569219
79,Paul Hansen,1361,246103
80,Mark Smith,6770,470366
81,Gregory House,5913,622807
82,Dr. Eileen Freeman,3001,334010
83,Stacie Chase,3760,393169
84,Jacqueline Watkins,2336,352912
85,Cheryl Gutierrez,2510,725962
86,Isabel Bonilla,6622,610797
87,Ronnie Duffy,552,434354
88,Daniel Gilbert,3912,941555
89,Antonio Spencer,9129,221781
90,Kendra Rhodes,7540,484773
91,Tiffany Jackson,3516,150624
92,Brett Stephenson,1161,668168
93,Lisa Whitney,8520,344628
94,Andrew Munoz,2876,186745
95,Brooke Burgess,6467,977762
96,Shannon Johnson,9304,277440
97,Isaac Spears,2656,429335
98,Cynthia Conway,1723,235288
99,Melissa Guzman,6189,472371
100,Wesley Gordon,8847,359523
101,Daniel Roth,3967,282094
102,Kimberly Jones,5650,453771
103,Shannon Hood,6629,232416
104,Sarah Johnson,7822,968958
105,Megan Reyes,4215,133428
106,Robert Gonzalez,5116,931080
107,Jacob Nicholson,5936,284550
108,Aaron Ruiz,1770,494884
109,Michael Gilbert,3800,925201
110,Adam Johnson,9898,904817
111,Terri Parker,4227,392610
112,David Ramirez,3161,515886
113,Jennifer Reynolds,7446,441542
114,Doris Munoz,1210,631676
115,Sara Cortez,6502,157025
116,Edward Chan,7671,399290
117,Darlene Flores,885,298841
118,Justin Kennedy,5664,185518
119,Caroline Boyd,7285,595957
120,Richard Irwin,4205,815760
121,Christine Griffin,1197,684183
122,Christopher Lee,537,645566
123,Tracy Hart MD,5692,338598
124,Terry Kelly,1868,187875
125,Lisa Brown,5923,756884
126,Joe Harris,2663,923457
127,Megan Leon,3654,693748
128,Jacqueline Hale,3084,490143
129,Daniel Gray,5546,508261
130,Joshua Howell,7429,326518
131,Timothy Davis,6978,316328
132,Wesley Pearson,2443,535083
133,Kendra Hartman MD,8641,682380
134,Paul Smith,8845,924244
135,Elizabeth Williams,9645,775055
136,Samuel Farrell,451,324386
137,Craig Duran,5659,652171
138,Matthew Wilkinson,3314,655332
139,Donna Padilla,1089,363715
140,Alexander Franklin,2525,541210
141,Jessica Velazquez,5652,377272
142,Shannon Kelley,6510,328466
143,Sarah Crawford,9334,184266
144,Jasmin Nelson MD,4333,814905
145,Chad Scott,6726,689477
146,Clayton Harding,8572,876438
147,Paul Cox,415,915957
148,Tyrone Wells,6992,296500
149,Jacob Marquez,1687,790227
150,Kimberly Warren,830,397230
151,Kelly Harrell,8719,918352
152,Katie Collins,5203,481479
153,James Humphrey,1302,976536
154,Tommy Ortega,6371,954925
155,James Herrera,3285,472089
156,Kevin Martinez,5100,869105
157,Heather Cordova,9848,741230
158,Erika Miller,6029,170441
159,Mary Bernard,9940,935183
160,Benjamin Schroeder,4627,509477
161,Ryan Harrison,8480,198345
162,Stephanie Mitchell,6528,306370
163,Tyrone Cherry,1456,879177
164,Isaac Kaiser,7379,716097
165,Jessica Morales,6865,518384
166,Joseph Lara,5653,822953
167,Elizabeth Hood,6129,148103
168,Thomas Thompson,6544,815435
169,Destiny Hoover,1207,200972
170,Sarah Hubbard,7141,920948
171,Jacqueline Lawson,9452,178606
172,Bradley Williams II,6428,753953
173,Ann Wu,2733,760641
174,Jesus Jones,939,168759
175,Kevin Harrison,7970,340753
176,Ryan Soto,7807,760184
177,Brandon Williams,6192,550758
178,Joseph Singh,5035,723940
179,Dylan Smith,7991,296173
180,Jared Harris,180,252340
181,Diane Harris,2562,234661
182,Anne Pennington,4345,537329
183,Mr. Trevor Baker,3172,280903
184,Leslie Russell,6757,931281
185,Kathy Tanner,8503,551300
186,Donald King,8225,565413
187,Jessica Parsons,3015,640663
188,Angela Ponce,145,113187
189,Tami Sanchez,876,455260
190,Steven Stephens,8294,739496
191,Christine Brewer,1552,867978
192,Kevin Shaw,5722,309123
193,Logan Gonzalez,4189,966570
194,Joshua Hunter,7704,529501
195,Jacqueline Hernandez,8782,362190
196,Jordan Page,1317,485514
197,Deanna Price,2832,860567
198,Lisa Nolan,2101,746910
199,Sara Barnes,9867,523685
200,David Howell,4671,803511
201,Jeanne Stewart,1417,443565
202,Shannon Stevens,5490,754734
203,Nicholas Jones,9378,235496
204,Linda Hunter,4021,825240
205,Andrew White,6127,307550
206,Steven Walter,2345,306999
207,Stuart Conner,1111,242564
208,Christopher Snow,4747,765148
209,Jordan Murphy,7737,795175
210,Brian Dennis,9607,532492
211,Dr. Mary Ortega,3446,665411
212,Sarah Carter,9334,516979
213,Eric Jones,2785,990743
214,Courtney Rodriguez,1603,741963
215,Larry Carr,6505,747597
216,Pamela Smith,3242,620925
217,Whitney Williamson,2765,199583
218,Margaret Gilbert,4594,850528
219,Kimberly James,3539,461950
220,Justin Orozco,4069,504671
221,Manuel Fields,7377,138578
222,Robert Ellis,3020,275639
223,Caleb Moore,4291,334411
224,Jessica Anderson MD,1953,865649
225,Sara Hernandez,3203,237350
226,Richard Anthony,7154,981620
227,Dorothy Johnson,5975,548722
228,Trevor Cooper,7147,637852
229,Mark Solis,2209,492415
230,Rhonda Vega,3408,599444
231,Justin Flores,2499,195372
232,Mark Smith,179,256310
233,James Figueroa,6554,207998
234,Marissa Hall,271,485590
235,Amanda Monroe,744,418463
236,Jason Thompson,3060,647433
237,Kathryn Wallace,4846,837504
238,Anthony Franco,7565,951818
239,Lisa Lyons,6909,450823
240,Timothy Johnson,2349,559805
241,Ryan Carey,8014,288704
242,Raymond Hendrix,4109,493000
243,Brent Schmidt,1381,703987
244,Mrs. Lisa Hill,7608,965352
245,Michael Jones,7331,813730
246,Katelyn Guerra,3162,577761
247,Jeremy Martin,7310,161278
248,Daniel Phillips,3140,393673
249,Lisa Smith,5636,147366
250,Elizabeth Campbell,852,114552
251,Angie Roberts,1345,177263
252,Michelle Johnson,1126,407483
253,Amy Duran,9287,200610
