,name,wallet,id
0,Joel Howell,9747,117432
1,Luis Morrison,3058,449348
2,Christina Jones,9428,819016
3,Bryan Stephens,6007,269490
4,Shari Anderson,1756,876056
5,Dr. Dylan Robertson,7706,336433
6,Michael Hunt,6151,709552
7,Candice Cook,3229,662582
8,Jordan Green,3632,717437
9,Jennifer Jensen,4476,201640
10,Cathy Vargas,1797,712092
11,Yolanda Garcia,7810,994970
12,Sandra Edwards,1296,516462
13,Larry Alvarez,5797,550036
14,Lauren Carter,8592,177811
15,Jennifer Johnson,4175,993546
16,Frederick Collins,7923,948646
17,Jackie Smith,1410,476063
18,Sean Smith,3605,884555
19,Patricia Fleming,4041,694377
20,Phillip Robinson,8718,613598
21,Shelly Simpson,6747,445865
22,Carlos Fields,7210,245068
23,Sonia Garcia,1935,901095
24,Dr. Diana Randall,5713,756934
25,Beth Mclaughlin,9274,666203
26,Sarah Dean,5957,254594
27,Bryan Reynolds,6632,407555
28,Jennifer Vega,1680,732883
29,Sheila Taylor,1021,363040
30,Becky Michael MD,7978,720078
31,Melissa Taylor,121,518241
32,Mark Wolf,2847,187170
33,Stephanie Murray,234,493438
34,Jacqueline Gonzalez,3025,999405
35,David Jones,5169,765881
36,Jose Parker II,206,766974
37,Christian Arnold,4668,542274
38,Melissa Frazier,8620,120079
39,Matthew Doyle,9340,150612
40,Mr. Eric Grimes,8971,349601
41,Tina Jones,4987,537177
42,Ann Stanley,4380,247405
43,Brian Stewart,1638,773758
44,Carlos Maxwell,1911,856094
45,Julian Davis,7904,542727
46,Christopher Ross,8435,185205
47,Heidi Arroyo,3357,483371
48,Andrew Romero,8774,803233
49,Christine Henderson,4595,155200
50,Nathan Lynch,2545,319414
51,James Carpenter,7092,133938
52,Donna Ryan,2473,880722
53,Brianna Ramirez,4627,989382
54,Debbie Nelson,8323,537504
55,George Walker,9394,287137
56,Mary Navarro,6881,292037
57,Douglas Brown,2005,417282
58,Emily Perez,1320,182813
59,Randall Ford,2456,656270
60,Cynthia Saunders,4548,928245
61,Carlos Castillo,810,280152
62,Andrew French,4166,660376
63,Kimberly Turner,4481,914789
64,William Jones,6078,421917
65,Cassandra Stewart,9122,219108
66,Danny Jimenez,3640,604255
67,Russell Robles,1779,187701
68,Cassandra Davis,6023,725992
69,Adriana Holland,1473,923635
70,Timothy Clark,6603,208377
